"","dateRep","day","month","year","cases","countriesAndTerritories","date","Cumulative_cases"
"156","01/02/2020",1,2,2020,0,"France",2020-02-01,6
"157","01/02/2020",1,2,2020,2,"Germany",2020-02-01,7
"158","01/02/2020",1,2,2020,1,"Spain",2020-02-01,1
"159","01/02/2020",1,2,2020,2,"United_Kingdom",2020-02-01,2
"160","01/02/2020",1,2,2020,1,"United_States_of_America",2020-02-01,7
"161","02/02/2020",2,2,2020,0,"France",2020-02-02,6
"162","02/02/2020",2,2,2020,1,"Germany",2020-02-02,8
"163","02/02/2020",2,2,2020,0,"Spain",2020-02-02,1
"164","02/02/2020",2,2,2020,0,"United_Kingdom",2020-02-02,2
"165","02/02/2020",2,2,2020,1,"United_States_of_America",2020-02-02,8
"166","03/02/2020",3,2,2020,0,"France",2020-02-03,6
"167","03/02/2020",3,2,2020,1,"Germany",2020-02-03,9
"168","03/02/2020",3,2,2020,0,"Spain",2020-02-03,1
"169","03/02/2020",3,2,2020,0,"United_Kingdom",2020-02-03,2
"170","03/02/2020",3,2,2020,3,"United_States_of_America",2020-02-03,11
"171","04/02/2020",4,2,2020,0,"France",2020-02-04,6
"172","04/02/2020",4,2,2020,2,"Germany",2020-02-04,11
"173","04/02/2020",4,2,2020,0,"Spain",2020-02-04,1
"174","04/02/2020",4,2,2020,0,"United_Kingdom",2020-02-04,2
"175","04/02/2020",4,2,2020,0,"United_States_of_America",2020-02-04,11
"176","05/02/2020",5,2,2020,0,"France",2020-02-05,6
"177","05/02/2020",5,2,2020,0,"Germany",2020-02-05,11
"178","05/02/2020",5,2,2020,0,"Spain",2020-02-05,1
"179","05/02/2020",5,2,2020,1,"United_Kingdom",2020-02-05,3
"180","05/02/2020",5,2,2020,0,"United_States_of_America",2020-02-05,11
"181","06/02/2020",6,2,2020,0,"France",2020-02-06,6
"182","06/02/2020",6,2,2020,0,"Germany",2020-02-06,11
"183","06/02/2020",6,2,2020,0,"Spain",2020-02-06,1
"184","06/02/2020",6,2,2020,0,"United_Kingdom",2020-02-06,3
"185","06/02/2020",6,2,2020,1,"United_States_of_America",2020-02-06,12
"186","07/02/2020",7,2,2020,0,"France",2020-02-07,6
"187","07/02/2020",7,2,2020,1,"Germany",2020-02-07,12
"188","07/02/2020",7,2,2020,0,"Spain",2020-02-07,1
"189","07/02/2020",7,2,2020,1,"United_Kingdom",2020-02-07,4
"190","07/02/2020",7,2,2020,0,"United_States_of_America",2020-02-07,12
"191","08/02/2020",8,2,2020,5,"France",2020-02-08,11
"192","08/02/2020",8,2,2020,1,"Germany",2020-02-08,13
"193","08/02/2020",8,2,2020,0,"Spain",2020-02-08,1
"194","08/02/2020",8,2,2020,0,"United_Kingdom",2020-02-08,4
"195","08/02/2020",8,2,2020,0,"United_States_of_America",2020-02-08,12
"196","09/02/2020",9,2,2020,0,"France",2020-02-09,11
"197","09/02/2020",9,2,2020,0,"Germany",2020-02-09,13
"198","09/02/2020",9,2,2020,0,"Spain",2020-02-09,1
"199","09/02/2020",9,2,2020,0,"United_Kingdom",2020-02-09,4
"200","09/02/2020",9,2,2020,0,"United_States_of_America",2020-02-09,12
"201","10/02/2020",10,2,2020,0,"France",2020-02-10,11
"202","10/02/2020",10,2,2020,0,"Germany",2020-02-10,13
"203","10/02/2020",10,2,2020,1,"Spain",2020-02-10,2
"204","10/02/2020",10,2,2020,4,"United_Kingdom",2020-02-10,8
"205","10/02/2020",10,2,2020,0,"United_States_of_America",2020-02-10,12
